VIN (1-10),County,City,State,Postal Code,Model Year,Make,Model,Electric Vehicle Type,Clean Alternative Fuel Vehicle (CAFV) Eligibility,Electric Range,Base MSRP,Legislative District,DOL Vehicle ID,Vehicle Location,Electric Utility,2020 Census Tract
5YJ3E1EB8L,Snohomish,Lake Stevens,WA,98258,2020,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,322,0,44,112667670,POINT (-122.06402 48.01497),PUGET SOUND ENERGY INC,53061052505
1N4BZ0CP9H,Kitsap,Seabeck,WA,98380,2017,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,107,0,35,348373931,POINT (-122.81585 47.64509),PUGET SOUND ENERGY INC,53035092000
1G1FW6S05H,Thurston,Olympia,WA,98504,2017,CHEVROLET,BOLT EV,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,238,0,22,168485502,,PUGET SOUND ENERGY INC,53067010100
1N4AZ0CP3D,King,Renton,WA,98056,2013,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,75,0,11,225638941,POINT (-122.18463 47.49929),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033025202
5YJSA1S26F,Island,Langley,WA,98260,2015,TESLA,MODEL S,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,208,0,10,477966884,POINT (-122.40618 48.0399),PUGET SOUND ENERGY INC,53029972000
KNDRJDLH0N,Grant,Moses Lake,WA,98837,2022,KIA,SORENTO,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,32,0,13,212046866,POINT (-119.2771 47.13196),PUD NO 2 OF GRANT COUNTY,53025011200
1N4AZ1CP4J,Thurston,Lacey,WA,98503,2018,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,151,0,22,160782506,POINT (-122.82324 47.04437),PUGET SOUND ENERGY INC,53067011422
WBY1Z4C57E,Spokane,Spokane,WA,99224,2014,BMW,I3,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,72,0,6,349911565,POINT (-117.46996 47.59431),MODERN ELECTRIC WATER COMPANY,53063013503
KNDCD3LD5J,Snohomish,Everett,WA,98208,2018,KIA,NIRO,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,26,0,44,274863137,POINT (-122.18637 47.89251),PUGET SOUND ENERGY INC,53061041610
1N4AZ0CP5F,Walla Walla,Walla Walla,WA,99362,2015,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,84,0,16,185337113,POINT (-118.34261 46.07068),PACIFICORP,53071920701
7SAYGDEE4P,King,Seattle,WA,98115,2023,TESLA,MODEL Y,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,43,224117652,POINT (-122.31765 47.70013),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033003602
5YJ3E1EA4J,Snohomish,Everett,WA,98208,2018,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,215,0,21,476642323,POINT (-122.18637 47.89251),PUGET SOUND ENERGY INC,53061041814
